LandisData  Ecoregions

>>         Map
>> Active  Code   Name    	Description
>> ------  ----   -----   	-----------
    no       0    NA	  	nodata
    no       1    water   	water
    no       2    nonactive   	Develop_NonActive
    yes      3	  Grass		Grass
	yes 4	Wetland		OpenWetland
	yes  5	AcidBog		AcidBog
	yes  6	CedarSpr	Cedar_SprFir
	yes  7	Spruce		Black_spruce
	yes  8	BlackAsh	Black_Ash
	yes  9	Tamarack	Tamarack
  Yes  10  e12491  e12491
  Yes  11  e12511  e12511
  Yes  12  e12521  e12521
  Yes  13  e12522  e12522
  Yes  14  e12523  e12523
  Yes  15  e12524  e12524
  Yes  16  e12581  e12581
  Yes  17  e12731  e12731
  Yes  18  e12741  e12741
  Yes  19  e12771  e12771
  Yes  20  e12861  e12861
  Yes  21  e12871  e12871
  Yes  22  e14731  e14731
  Yes  23  e22491  e22491
  Yes  24  e22501  e22501
  Yes  25  e22511  e22511
  Yes  26  e22521  e22521
  Yes  27  e22522  e22522
  Yes  28  e22523  e22523
  Yes  29  e22731  e22731
  Yes  30  e22741  e22741
  Yes  31  e22771  e22771
  Yes  32  e22861  e22861
  Yes  33  e22871  e22871
  Yes  34  e24731  e24731
  Yes  35  e24751  e24751
  Yes  36  e32501  e32501
  Yes  37  e32511  e32511
  Yes  38  e32521  e32521
  Yes  39  e32861  e32861
  Yes  40  e32871  e32871
  Yes  41  e34751  e34751
  Yes  42  e42491  e42491
  Yes  43  e42501  e42501
  Yes  44  e42511  e42511
  Yes  45  e42861  e42861
  Yes  46  e42871  e42871
  Yes  47  e44731  e44731
  Yes  48  e44751  e44751
  Yes  49  e52491  e52491
  Yes  50  e52501  e52501
  Yes  51  e52511  e52511
  Yes  52  e52521  e52521
  Yes  53  e52522  e52522
  Yes  54  e52523  e52523
  Yes  55  e52524  e52524
  Yes  56  e52581  e52581
  Yes  57  e52731  e52731
  Yes  58  e52741  e52741
  Yes  59  e52771  e52771
  Yes  60  e52861  e52861
  Yes  61  e52871  e52871
  Yes  62  e54731  e54731
  Yes  63  e54751  e54751
